text,sentiment,Time of Tweet,Age of User,Country
ohh my tooth is hurts ohh  im sad it very hurts,negative,morning,46-60,Nigeria
"Before I get too distracted, I`d like to thank my new followers for taking the trouble to follow me! And to my others: feelin the love",positive,noon,60-70,North Korea
 u think u have bills Ha!Ii just finished paying mine that`s y I`m broke,negative,night,70-100,North Macedonia
 Not sure it didn`t say it was 2 big. I jst saw the pics of u on ur last bday. You looked so pretty!! I miss you!!,neutral,morning,0-20,Norway
sore throat. Planning the TET outing to Marwell though...good times,neutral,noon,21-30,Oman
mcfly gig last nightt omg it was amazin didnt sit down through the whole thing  mcfly did you see me and ma best mate we were in tutus,positive,night,31-45,Pakistan
2 days without sleep and now a migraine. I thought life postR01 was meant to be relaxing,negative,morning,46-60,Palau
 There!,neutral,noon,60-70,Palestine State
?sucks!?..,negative,night,70-100,Panama
 whens the sway sway winner announced?,neutral,morning,0-20,Papua New Guinea
 K will check it out...,neutral,noon,21-30,Paraguay
" doing pretty well, up and wide awake",positive,night,31-45,Peru
"i want to wake up early, and get a coffee tomorrow (today) !  it`s going to be a busyy day! but have to keep writing.. booo whoo!",neutral,morning,46-60,Philippines
I Miss Daddy and Mommy,negative,noon,60-70,Poland
"My dog is officially depressed that my brother`s dogs are gone. He doesn`t want to go outside and when we did, he play half-heartedly.",negative,night,70-100,Portugal
I just realized that I can`t forward text msgs with my iPhone.,neutral,morning,0-20,Qatar
"My frist post... Off to find a new car for my parents, exciting!",positive,noon,21-30,Romania
Argh noo! Missed The Killers on Wossy!  That sucks! Missed out on Brandon. Total failure! Anyone know if it`s repeated? Must investigate!,negative,night,31-45,Russia
seriously bored without anyone to talk to... but not tired enough for sleep,negative,morning,46-60,Rwanda
 I am lost. Please help me find a good home.,negative,noon,60-70,Saint Kitts and Nevis
"It`s a Peter & Gordon morning  -> And I, go to pieces and I wanna hide / Go to pieces and I almost die / Ever... ? http://blip.fm/~5yk38",neutral,night,70-100,Saint Lucia
Ok so I`ve now got a bit of a bad back after lifting all drum hardware into my car   downer.,negative,morning,0-20,Saint Vincent and the Grenadines
 LMAO... Smh!  that one threw me off.,neutral,noon,21-30,Samoa
 oh nice going!,positive,night,31-45,San Marino
Is getting ready for work... Working all weekend,neutral,morning,46-60,Sao Tome and Principe
Gonna celebrate Mothers Day with the family but gonna start the partying tonite,positive,noon,60-70,Saudi Arabia
 i agree with you!,positive,night,70-100,Senegal
 I only do computers. Am hopeless at everything else,negative,morning,0-20,Serbia
"90 degrees, gross skies, and thunderstorms...perfect match for my mood  lol",positive,noon,21-30,Seychelles
_2nd aww thanks!,positive,night,31-45,Sierra Leone
 Sorry RB is on PS3 for me,negative,morning,46-60,Singapore
I saw amazing heeels. But they were too big,neutral,noon,60-70,Slovakia
I just stuck my finger down my throat and there are a bunch of bumps on my tongue & throat.,negative,night,70-100,Slovenia
dang last url went down  ? http://blip.fm/~7aigm,negative,morning,0-20,Solomon Islands
" ohoh i missed all ur tweets  im gonna have to stay awake all night to see the announcement now, **** time difference",negative,noon,21-30,Somalia
 Damnit all. That sucks.  You were one of the ones I thought I`d drag back lol,negative,night,31-45,South Africa
 my boss. She`s moving to NYC,neutral,morning,46-60,South Korea
this is sooo crazy i have fever..,negative,noon,60-70,South Sudan
is spending her Saturday morning taking notes for a research essay because some stupid **** recalled the book I`m using. Not fair,negative,night,70-100,Spain
I think i need some new friends,neutral,morning,0-20,Sri Lanka
 Looking forward to your gig in Ireland!!!  See ya there!,neutral,noon,21-30,Sudan
Please Review Sunehre Ad Placement  http://tinyurl.com/oow6mk,positive,night,31-45,Suriname
aww  you loooove me,positive,morning,46-60,Sweden
"is hungry, twitter.  i want food. </3",neutral,noon,60-70,Switzerland
awesome lucky you,positive,night,70-100,Syria
" yea, i should know.. but tell me EVERYTHING!  ps: send me direct messages telling..   haha",neutral,morning,0-20,Tajikistan
" haha im jewish, i love that one",positive,noon,21-30,Tanzania
"had a great time out in the beer garden wit the boyos !! I think the sun got to me a bit though, feel a bit ill !!",neutral,night,31-45,Thailand
 l`m on 3 days too matt. No fun this weekend.,negative,morning,46-60,Timor-Leste
 u really don`t think so?  maybe ur right....lol. btw what phone u using? think u told me b4...i might have an app for u,neutral,noon,60-70,Togo
 I feel your pain. Mine is the same way,negative,night,70-100,Tonga
comes home in two days,neutral,morning,0-20,Trinidad and Tobago
 Sadly no. It didn`t come with one...,negative,noon,21-30,Tunisia
Cant wait to see my boy tomorrow,positive,night,31-45,Turkey
 ehhh no. just a check up. I have a dentist app next week though. getting my molar pulled/root canal.,neutral,morning,46-60,Turkmenistan
 aww I miss driving down elmwood,negative,noon,60-70,Tuvalu
Omg Wango Tango was **** AWSOME! I love my baby for taking me,positive,night,70-100,Uganda
"Version 2 of our live, interactive Trans-Siberian ticket planner is launched: http://tinyurl.com/c5ljwm - its very cool",positive,morning,0-20,Ukraine
_30439 I really wish I could go!,positive,noon,21-30,United Arab Emirates
" yeah real hard, but I know you`ll get by with it... smile",neutral,night,31-45,United Kingdom
 I`m 25 in december that`s not good at all next big birthday is 30  after 21 it flys by for sure,negative,morning,46-60,United States of America
  This has made my night!!  Way too funny!!,positive,noon,60-70,Uruguay
Woo CAVS.  Happy Mother`s Day!,positive,night,70-100,Uzbekistan
 I make that same face when I get home and your mom is watching soaps.,neutral,morning,0-20,Vanuatu
I have to go to work now.,neutral,noon,21-30,Venezuela
 I can`t believe you went and got boba without me.,neutral,night,31-45,Vietnam
"  And to you too, how are you today?",neutral,morning,46-60,Yemen
 Thanks for the warm welcome! We didn`t make plans   because our arrival time was so up in the air.,positive,noon,60-70,Zambia
19 days and counting,neutral,night,70-100,Zimbabwe
 sorry  friends - I`m swamped with deadlines right now and we have family visiting to boot! No charades for me.,negative,morning,0-20,Afghanistan
BRAINFREEZE,neutral,noon,21-30,Albania
Just discovered a shortcoming of Gravity. When you use Twitpic (integrated) it doesn`t subtract the pic URL from the 140 character limit,neutral,night,31-45,Algeria
"My sunburn is peeling,",negative,morning,46-60,Andorra
perky purple nail polish isn`t as perky when its chipped,neutral,noon,60-70,Angola
"http://twitpic.com/4sx96 - before they put a CAMERA in the smokers pit.  i can no longer vandalize that door, without being caught.",neutral,night,70-100,Antigua and Barbuda
Laying ALONE!! Since Mook`s soo comfy in his f`n play pen. I thought it was ill at first now I don`t have no one to cuddle with...,negative,morning,0-20,Argentina
I hate the dentist,negative,noon,21-30,Armenia
" nothing aimed at you, just joining in...sorry",negative,night,31-45,Australia
I`m taking a twitter break. Cell is dying,negative,morning,46-60,Austria
 qood morninq,neutral,noon,60-70,Azerbaijan
writing my english original writing storyyyyy. and listening to `a little respect` by erasure  aaaaaah.,neutral,night,70-100,Bahamas
needs more followers,neutral,morning,0-20,Bahrain
I wish I could get my nails done  stupid job,negative,noon,21-30,Bangladesh
The little wormy from labyrinth sadly passed away today but its ok as hes still around in a happy ghost form aww  http://twitpic.com/67aim,neutral,night,31-45,Barbados
 the 'no pants' idea could be the new attempt world-wide to attract business back to the airlines.,neutral,morning,46-60,Belarus
 Have a good one,positive,noon,60-70,Belgium
" yep infact she is popular, miss india 99, talented film actress .... and lot more",positive,night,70-100,Belize
Dosen`t Want To Go To Work Tomorrow,negative,morning,0-20,Benin
Daniel has won DSDS. His voice is great.,positive,noon,21-30,Bhutan
[-O] i wish the birthday massacre would come to australia  i think they said they`re thinking about it tho.. http://tinyurl.com/p6lfch,neutral,night,31-45,Bolivia
was hoping to go to Red Lobster this weekend,neutral,morning,46-60,Bosnia and Herzegovina
_x_ATL u mean jack barakat`s?! wow so have u ever gone to his house? Hehe i mean ur ssoo lucky to have the address!,positive,noon,60-70,Botswana
I sure do hope it becomes 4:20 this afternoon ...,positive,night,70-100,Brazil
 it means that you are now FAMOUS. Congrats!,positive,morning,0-20,Brunei
My phone passed away yesterday.. He jumped off the table  Searching for a new phone...,negative,noon,21-30,Bulgaria
"I have such fantastic friends, including several ones met through here! thanks for being in my life - you are such amazing people!",positive,night,31-45,Burkina Faso
tamlyn wishes she was as cool as my sock draw,positive,morning,46-60,Burundi
 so no rice or crusty bread with the chili .... aawww,neutral,noon,60-70,Côte d'Ivoire
"  We are of like minds this evening , my dear!",neutral,night,70-100,Cabo Verde
come and save me from my packing please?!,neutral,morning,0-20,Cambodia
"Yes, I love tea. If that makes me typically English then so be it",positive,noon,21-30,Cameroon
 a mouth for sure,positive,night,31-45,Canada
_dec0de I finally just have 1 hour of history... at 3.00 pm! but I went to my highschool at 8.00 am to make some homework with a friend,neutral,morning,46-60,Central African Republic
 pancakes!! with lemon and sugar thanks!,positive,noon,60-70,Chad
" Si, no bueno  I guess I just don`t entertain him :/",negative,night,70-100,Chile
I`m so hunrgy right now and these heels kill me I can hardly walk in them,negative,morning,0-20,China
both electronic keys stopped working. there is no keyhole! cant get in my car. so much for technology,negative,noon,21-30,Colombia
" Yay, three followers! Good to know more than one person in this big wide world likes fishies.",positive,night,31-45,Comoros
'my name is Tony!!!!!! ...not hey!!!!' -  poor tony,negative,morning,46-60,Congo (Congo-Brazzaville)
Goodmorning,positive,noon,60-70,Costa Rica
Took a shift tomorrow.    I don`t really feel like working right now.,negative,night,70-100,Croatia
" I love mine, too . happy motherÃ¯Â¿Â½s day to your mom , John Taylor  . much love to you, too .",positive,morning,0-20,Cuba
Saw a black snake in the garden.  Went back for a picture and it was gone,neutral,noon,21-30,Cyprus
http://twitpic.com/4wukt - We bought Ludi her own rug. Dogs are the best,positive,night,31-45,Czechia (Czech Republic)
No waterfront anymore   faccia luna and clarendon will have to do,negative,morning,46-60,Democratic Republic of the Congo
loves her mum very much! Happy Mothers Day to all the wonderful mothers out there,positive,noon,60-70,Denmark
Slipped up and caught the flu  feeling like poop!,negative,night,70-100,Djibouti
"i have an urge to play wow but i have to wait 2 weeks til im at my dads! 5+47DAYS TIL MCFLY, im so excited  (L)",positive,morning,0-20,Dominica
Ok ... the passengers ... no one is alive ... they`re all dead ... you just don`t know it til the end ... then you cry ...,negative,noon,21-30,Dominican Republic
Discovered  and  are sharing on G reader with me and didn`t even know it. Sigh.... I`m such a G reader newb.,neutral,night,31-45,Ecuador
"is chilled out tonite, so cannot spew venom or write funny. Seems like these are the only 2 styles she has",neutral,morning,46-60,Egypt
" If u do, please pray 4 me.  Lord knows I need it.",neutral,noon,60-70,El Salvador
aaaaaw i want to live in the USA,neutral,night,70-100,Equatorial Guinea
Morning tweeple,positive,morning,0-20,Eritrea
" Hey, I didn`t get any !!!",neutral,noon,21-30,Estonia
 Now you only have 2 hours to sleep...  - Rest if you need it.,positive,night,31-45,"Eswatini (fmr. ""Swaziland"")"
"  That makes my day so much better, it`s been a rough one. Did I mention I love the new photo!",neutral,morning,46-60,Ethiopia
I don`t want to sit at home on prom night. Someone hang out with me,negative,noon,60-70,Fiji
Is heading home from foot surgery and wishing she had a boyfriend to come over and cuddle with,positive,night,70-100,Finland
concert tonight  chackin out and not coming tomorrow!,neutral,morning,0-20,France
 what happened? I thought you were coming back today....,neutral,noon,21-30,Gabon
